time, bid price, ask price, bid quantity, ask quantity, spread,
Mon Feb 10 23:16:13 2020, 9852.5, 9853.0, 67020.0, 2623239.0, 0.5 USD,
Mon Feb 10 23:16:15 2020, 9852.5, 9853.0, 60550.0, 2650915.0, 0.5 USD,
Mon Feb 10 23:16:17 2020, 9852.5, 9853.0, 60778.0, 2923635.0, 0.5 USD,
Mon Feb 10 23:16:19 2020, 9852.5, 9853.0, 46694.0, 2950008.0, 0.5 USD,
Mon Feb 10 23:16:21 2020, 9852.5, 9853.0, 5261.0, 3027830.0, 0.5 USD,
Mon Feb 10 23:16:23 2020, 9852.0, 9852.5, 22471.0, 2934526.0, 0.5 USD,
Mon Feb 10 23:16:25 2020, 9851.0, 9851.5, 248375.0, 1064221.0, 0.5 USD,
Mon Feb 10 23:16:28 2020, 9851.0, 9851.5, 168558.0, 2161716.0, 0.5 USD,
Mon Feb 10 23:16:30 2020, 9851.0, 9851.5, 168640.0, 2152992.0, 0.5 USD,
Mon Feb 10 23:16:32 2020, 9851.0, 9851.5, 158244.0, 2159358.0, 0.5 USD,
Mon Feb 10 23:16:34 2020, 9851.0, 9851.5, 159160.0, 2194058.0, 0.5 USD,
Mon Feb 10 23:16:36 2020, 9851.0, 9851.5, 158147.0, 2194054.0, 0.5 USD,
Mon Feb 10 23:16:38 2020, 9851.0, 9851.5, 158216.0, 2201966.0, 0.5 USD,
Mon Feb 10 23:16:40 2020, 9850.5, 9851.0, 254736.0, 2506110.0, 0.5 USD,
Mon Feb 10 23:16:42 2020, 9850.5, 9851.0, 229931.0, 2496638.0, 0.5 USD,
Mon Feb 10 23:16:44 2020, 9850.5, 9851.0, 220026.0, 2472931.0, 0.5 USD,
Mon Feb 10 23:16:46 2020, 9850.5, 9851.0, 218345.0, 2472847.0, 0.5 USD,
Mon Feb 10 23:16:48 2020, 9850.5, 9851.0, 194375.0, 2459934.0, 0.5 USD,
Mon Feb 10 23:16:50 2020, 9850.5, 9851.0, 206913.0, 2453694.0, 0.5 USD,
Mon Feb 10 23:16:52 2020, 9850.5, 9851.0, 197251.0, 2466028.0, 0.5 USD,
Mon Feb 10 23:16:54 2020, 9850.5, 9851.0, 219247.0, 2459625.0, 0.5 USD,
Mon Feb 10 23:16:56 2020, 9850.5, 9851.0, 201510.0, 2464787.0, 0.5 USD,
Mon Feb 10 23:16:58 2020, 9850.5, 9851.0, 191531.0, 2472997.0, 0.5 USD,
Mon Feb 10 23:17:00 2020, 9850.5, 9851.0, 175378.0, 2483044.0, 0.5 USD,
Mon Feb 10 23:17:02 2020, 9850.5, 9851.0, 160367.0, 2563819.0, 0.5 USD,
Mon Feb 10 23:17:04 2020, 9850.5, 9851.0, 160475.0, 2564603.0, 0.5 USD,
Mon Feb 10 23:17:06 2020, 9850.5, 9851.0, 159463.0, 2723517.0, 0.5 USD,
Mon Feb 10 23:17:08 2020, 9850.5, 9851.0, 159032.0, 2714513.0, 0.5 USD,
Mon Feb 10 23:17:11 2020, 9850.5, 9851.0, 159557.0, 2936148.0, 0.5 USD,
Mon Feb 10 23:17:13 2020, 9850.5, 9851.0, 159509.0, 3000180.0, 0.5 USD,
Mon Feb 10 23:17:15 2020, 9850.5, 9851.0, 147557.0, 2987053.0, 0.5 USD,
Mon Feb 10 23:17:17 2020, 9850.5, 9851.0, 147682.0, 3004140.0, 0.5 USD,
Mon Feb 10 23:17:19 2020, 9850.5, 9851.0, 136492.0, 2973155.0, 0.5 USD,
Mon Feb 10 23:17:21 2020, 9850.5, 9851.0, 128488.0, 2959022.0, 0.5 USD,
Mon Feb 10 23:17:23 2020, 9850.5, 9851.0, 125784.0, 2902781.0, 0.5 USD,
Mon Feb 10 23:17:25 2020, 9850.5, 9851.0, 128591.0, 2888670.0, 0.5 USD,
Mon Feb 10 23:17:27 2020, 9848.0, 9848.5, 86001.0, 1033858.0, 0.5 USD,
Mon Feb 10 23:17:29 2020, 9848.0, 9848.5, 513055.0, 2677837.0, 0.5 USD,
Mon Feb 10 23:17:31 2020, 9848.0, 9848.5, 497130.0, 2680003.0, 0.5 USD,
Mon Feb 10 23:17:33 2020, 9848.0, 9848.5, 505085.0, 2602541.0, 0.5 USD,
Mon Feb 10 23:17:35 2020, 9848.0, 9848.5, 504936.0, 2597434.0, 0.5 USD,
Mon Feb 10 23:17:37 2020, 9848.0, 9848.5, 475586.0, 2622434.0, 0.5 USD,
Mon Feb 10 23:17:39 2020, 9848.0, 9848.5, 468086.0, 2649091.0, 0.5 USD,
